Volume,Centroid x,Centroid y,Centroid z,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
31,0.4838709677419355,15.0,115.16129032258064,0.6450106202713449,"(64, 128, 153)",1253376,11865,0.009466433057598039,102
93,3.2688172043010755,31.537634408602152,116.02150537634408,0.6658406191165697,,,,,
136,1.7941176470588236,42.80882352941177,117.375,0.7093448289217301,,,,,
47,1.4893617021276595,38.851063829787236,109.72340425531915,0.7965232988603199,,,,,
39,1.641025641025641,49.282051282051285,113.02564102564102,0.8481975118577634,,,,,
231,1.5454545454545454,52.27272727272727,43.34632034632035,0.6616320516251043,,,,,
68,1.7058823529411764,57.5,118.8970588235294,0.7626068213630461,,,,,
101,2.118811881188119,61.48514851485149,44.504950495049506,0.8781711034689408,,,,,
100,1.27,81.28,48.6,0.8727176428899344,,,,,
122,2.360655737704918,85.76229508196721,117.8688524590164,0.8412965543243708,,,,,
103,1.5048543689320388,89.54368932038835,68.50485436893204,0.8165368443026244,,,,,
81,4.283950617283951,15.17283950617284,35.333333333333336,0.9005042399298055,,,,,
109,4.614678899082569,78.5137614678899,36.055045871559635,0.8733098387087967,,,,,
93,5.010752688172043,68.04301075268818,50.24731182795699,0.7590625341479772,,,,,
99,5.090909090909091,107.4040404040404,53.292929292929294,0.859130593365946,,,,,
41,7.146341463414634,108.4390243902439,115.07317073170732,0.9184875572032806,,,,,
119,8.445378151260504,41.05882352941177,45.38655462184874,0.8297995432915728,,,,,
123,9.105691056910569,54.0650406504065,47.520325203252035,0.8921347978266936,,,,,
35,9.485714285714286,55.4,116.31428571428572,0.7971467037126605,,,,,
76,10.236842105263158,56.23684210526316,73.21052631578948,0.8852614598258646,,,,,
80,10.15,70.7,112.4375,0.9233100446504423,,,,,
267,11.104868913857677,96.01123595505618,51.10112359550562,0.5976002177170818,,,,,
139,11.33093525179856,24.489208633093526,69.38848920863309,0.8089813798530895,,,,,
152,11.039473684210526,70.51973684210526,49.9671052631579,0.6243663969275468,,,,,
117,11.495726495726496,29.45299145299145,41.27350427350427,0.8369347777397995,,,,,
118,11.584745762711865,61.46610169491525,63.432203389830505,0.8504587700091666,,,,,
