,Volume,Centroid,Sphericity (axes),Image size,Total image volume,Total object volume (pixels),Filling ratio,Number objects
139,91,"(59.637362637362635, 67.45054945054945, 98.71428571428571)",0.8936767096519447,,,,,
140,65,"(59.30769230769231, 76.13846153846154, 112.66153846153846)",0.895251467152744,,,,,
141,91,"(59.505494505494504, 94.50549450549451, 97.45054945054945)",0.9236199992638163,,,,,
142,389,"(61.05141388174807, 102.60925449871465, 89.55269922879178)",0.5777455204490242,,,,,
143,107,"(61.73831775700935, 46.32710280373832, 107.81308411214954)",0.8799018048663401,,,,,
144,122,"(61.83606557377049, 78.48360655737704, 101.6639344262295)",0.8665058620223822,,,,,
145,124,"(61.733870967741936, 107.85483870967742, 73.58064516129032)",0.6889311642823955,,,,,
146,132,"(62.28030303030303, 87.87121212121212, 109.0909090909091)",0.6126375053348638,,,,,
147,51,"(62.705882352941174, 30.058823529411764, 93.29411764705883)",0.6194026443724167,,,,,
148,20,"(62.9, 57.9, 91.1)",0.6067700704524142,,,,,
149,25,"(62.8, 89.48, 88.96)",0.7305983812140643,,,,,
150,25,"(62.84, 92.04, 76.64)",0.6068090903031245,,,,,
